batch_id,app,msgid,current_arabic,approved_arabic,rationale
ui-core-001,erpnext,"<span class=""h4""><b>Masters &amp; Reports</b></span>","<span class=""h4""><b>البيانات الرئيسية والتقارير</b></span>","<span class=""h4""><b>البيانات الرئيسية والتقارير</b></span>",توحيد الترجمة بين ERPNext وHRMS مع الحفاظ على HTML.
ui-core-001,erpnext,"<span class=""h4""><b>Reports &amp; Masters</b></span>","<span class=""h4""><b>التقارير والبيانات الرئيسية</b></span>","<span class=""h4""><b>التقارير والبيانات الرئيسية</b></span>",ترجمة النص الناقص مع الحفاظ على HTML.
ui-core-001,erpnext,Allow User to Edit Warehouse,السماح للمستخدم بتعديل السعر,السماح للمستخدم بتعديل المستودع,الترجمة الحالية تقول «السعر» بدل «المستودع».
ui-core-001,erpnext,At least one mode of payment is required for POS invoice.,يلزم وضع واحد نمط واحد للدفع لفاتورة نقطة البيع.\n<br>\nAt least one mode of payment is required for POS invoice.,يلزم تحديد طريقة دفع واحدة على الأقل لفاتورة نقطة البيع.,تصحيح الصياغة وحذف النص الإنجليزي المكرر.
ui-core-001,erpnext,Budget,ميزانية,الميزانية,إضافة أداة التعريف تجعل اسم القسم طبيعيًا مع بقاء المصطلح مفردًا.
ui-core-001,erpnext,Budget cannot be assigned against Group Account {0},لايمكن أسناد الميزانية للمجموعة Account {0},لا يمكن إسناد الميزانية إلى حساب المجموعة {0}.,ترجمة Account وتصحيح الإملاء وحرف الجر.
ui-core-001,erpnext,Employee cannot report to himself.,الموظف لا يمكن أن يقدم تقريرا إلى نفسه.\n<br>\nEmployee cannot report to himself.,لا يمكن أن يكون الموظف مسؤولًا عن نفسه.,صياغة إدارية أدق وحذف الإنجليزية المكررة.
ui-core-001,erpnext,"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.",مثال: ABCD. #####. إذا تم ضبط المسلسل ولم يتم ذكر رقم الدفعة في المعاملات ، فسيتم إنشاء رقم الدفعة تلقائيًا استنادًا إلى هذه السلسلة. إذا كنت تريد دائمًا الإشارة صراحة إلى Batch No لهذا العنصر ، فاترك هذا فارغًا. ملاحظة: سيأخذ هذا الإعداد الأولوية على بادئة Naming Series في إعدادات المخزون.,مثال: ABCD.#####. إذا تم تعيين السلسلة ولم يُذكر رقم الدفعة في المعاملات، فسيُنشأ رقم الدفعة تلقائيًا بناءً على هذه السلسلة. إذا كنت تريد إدخال رقم الدفعة صراحةً دائمًا لهذا الصنف، فاترك هذا الحقل فارغًا. ملاحظة: لهذا الإعداد أولوية على بادئة سلسلة التسمية في إعدادات المخزون.,تعريب Batch No وNaming Series وتصحيح الصياغة.
ui-core-001,erpnext,Invoicing,الفوترة,الفواتير,اسم قسم الفواتير أوضح للمستخدم من المصدر الصناعي «الفوترة».
ui-core-001,erpnext,Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,ضريبة البند يجب أن يكون الصف {0} حسابا من نوع الضريبة أو الدخل أو المصاريف أو الرسوم\n<br>\nItem Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,يجب أن يحتوي صف ضريبة الصنف {0} على حساب من نوع ضريبة أو دخل أو مصروف أو قابل للتحميل.,تصحيح ترتيب الجملة والمصطلحات وحذف الإنجليزية المكررة.
ui-core-001,erpnext,Please select Price List,الرجاء اختيار قائمة الأسعار\n<br>\nPlease select Price List,يرجى اختيار قائمة الأسعار.,حذف النص الإنجليزي المكرر وتحسين الترقيم.
