batch_id,app,msgid,current_arabic,approved_arabic,rationale
quality-sweep-001,erpnext,'Update Stock' cannot be checked for fixed asset sale,لا يمكن التحقق من ' تحديث المخزون ' لبيع الأصول الثابتة\n<br>\n'Update Stock' cannot be checked for fixed asset sale,لا يمكن التحقق من ' تحديث المخزون ' لبيع الأصول الثابتة,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,A Customer Group exists with same name please change the Customer name or rename the Customer Group,مجموعة الزبائن موجودة بنفس الاسم أرجو تغير اسم العميل أو اعادة تسمية مجموعة الزبائن\n<br>\nA Customer Group exists with same name please change the Customer name or rename the Customer Group,مجموعة الزبائن موجودة بنفس الاسم أرجو تغير اسم العميل أو اعادة تسمية مجموعة الزبائن,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Abbreviation already used for another company,الاختصار يستخدم بالفعل لشركة أخرى\n<br>\nAbbreviation already used for another company,الاختصار يستخدم بالفعل لشركة أخرى,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Asset Category is mandatory for Fixed Asset item,فئة الموجودات إلزامية لبنود الموجودات الثابتة\n<br>\nAsset Category is mandatory for Fixed Asset item,فئة الموجودات إلزامية لبنود الموجودات الثابتة,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Asset Movement record {0} created,تم إنشاء سجل حركة الأصول {0}\n<br>\nAsset Movement record {0} created,تم إنشاء سجل حركة الأصول {0},حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Asset scrapped via Journal Entry {0},ألغت الأصول عن طريق قيد اليومية {0}\n<br>\n Asset scrapped via Journal Entry {0},ألغت الأصول عن طريق قيد اليومية {0},حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,"Asset {0} cannot be scrapped, as it is already {1}","لا يمكن إلغاء الأصل {0} ، كما هو بالفعل {1}\n<br>\nAsset {0} cannot be scrapped, as it is already {1}",لا يمكن إلغاء الأصل {0} ، كما هو بالفعل {1},حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Asset {0} does not belong to company {1},الأصل {0} لا ينتمي للشركة {1}\n<br>\nAsset {0} does not belong to company {1},الأصل {0} لا ينتمي للشركة {1},حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Attribute {0} selected multiple times in Attributes Table,تم تحديد السمة {0} عدة مرات في جدول السمات\n<br>\nAttribute {0} selected multiple times in Attributes Table,تم تحديد السمة {0} عدة مرات في جدول السمات,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,BOM {0} must be active,قائمة مكونات المواد {0} يجب أن تكون نشطة\n<br>\nBOM {0} must be active,قائمة مكونات المواد {0} يجب أن تكون نشطة,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,BOM {0} must be submitted,قائمة مكونات المواد {0} يجب أن تكون مسجلة\n<br>\nBOM {0} must be submitted,قائمة مكونات المواد {0} يجب أن تكون مسجلة,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Batch {0} of Item {1} has expired.,الدفعة {0} للعنصر {1} انتهت صلاحيتها\n<br>\nBatch {0} of Item {1} has expired.,الدفعة {0} للعنصر {1} انتهت صلاحيتها,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,لا يمكن تغيير تاريخ بدء السنه المالية وتاريخ انتهاء السنه المالية بمجرد حفظ السنه المالية.\n<br>\nCannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,لا يمكن تغيير تاريخ بدء السنه المالية وتاريخ انتهاء السنه المالية بمجرد حفظ السنه المالية.,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Cannot set as Lost as Sales Order is made.,لا يمكن أن تعين كخسارة لأنه تم تقديم أمر البيع. <br>Cannot set as Lost as Sales Order is made.,لا يمكن أن تعين كخسارة لأنه تم تقديم أمر البيع.,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Child warehouse exists for this warehouse. You can not delete this warehouse.,مستودع فرعي موجود لهذا المستودع. لا يمكنك حذف هذا المستودع.\n<br>\nChild warehouse exists for this warehouse. You can not delete this warehouse.,مستودع فرعي موجود لهذا المستودع. لا يمكنك حذف هذا المستودع.,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Clearance Date updated,تم تحديث تاريخ التخليص\n<br>\nClearance Date updated,تم تحديث تاريخ التخليص,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Company name not same,اسم الشركة ليس مماثل\n<br>\nCompany name not same,اسم الشركة ليس مماثل,حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
quality-sweep-001,erpnext,Customer {0} does not belong to project {1},العميل {0} لا ينتمي الى المشروع {1}\n<br>\nCustomer {0} does not belong to project {1},العميل {0} لا ينتمي الى المشروع {1},حذف تكرار النص الإنجليزي المطابق للمصدر بعد الترجمة العربية.
