batch_id,app,msgid,current_arabic,approved_arabic,rationale
accounting-001,erpnext,Purchase Invoice,فاتورة شراء,فاتورة مشتريات,Approved accounting glossary term
accounting-001,erpnext,Automatically Add Taxes from Taxes and Charges Template,إضافة الضرائب والرسوم تلقائيا من قالب الضريبة البند,إضافة الضرائب والرسوم تلقائيًا من قالب الضرائب والرسوم,Correct mistranslation and preserve the full template name
accounting-001,erpnext,Fetch Valuation Rate for Internal Transaction,تعيين معدل التقييم للمواد المرفوضة,جلب معدل التقييم للمعاملة الداخلية,Current Arabic refers to rejected items instead of an internal transaction
accounting-001,erpnext,Internal Supplier Accounting,مورد داخلي,محاسبة المورد الداخلي,Translate the accounting setting rather than only the supplier
accounting-001,erpnext,Opening stock creation has been queued and will be created in the background. Please check the stock entry after some time.,"تم وضع إنشاء قوائم المواد في قائمة الانتظار، يرجى التحقق من الحالة بعد بعض الوقت","تمت جدولة إنشاء المخزون الافتتاحي، وسيتم إنشاؤه في الخلفية. يُرجى التحقق من حركة المخزون بعد قليل.",Correct BOM confusion and use the project term for Stock Entry
accounting-001,erpnext,Use Legacy Budget Controller,استخدام وحدة تحكم الميزانية الجديدة,استخدام وحدة التحكم القديمة في الميزانية,Legacy means old rather than new
accounting-001,erpnext,Opening Balances,الأرصدة الافتتاحية,الأرصدة الافتتاحية,Keep approved cross-app wording
accounting-001,hrms,Opening Balances,أرصدة افتتاحية,الأرصدة الافتتاحية,Unify cross-app accounting wording
accounting-001,erpnext,Service Expenses,مصروفات الخدمة,مصروفات الخدمة,Keep approved accounting wording
accounting-001,hrms,Service Expenses,مصاريف الخدمة,مصروفات الخدمة,Use the accounting term مصروفات consistently
accounting-001,erpnext,Total percentage against cost centers should be 100,يجب أن تكون النسبة المئوية الإجمالية مقابل مراكز التكلفة 100,يجب أن يساوي إجمالي النسب المئوية الموزعة على مراكز التكلفة 100,Correct grammar and clarify allocation across cost centers
accounting-001,hrms,Total percentage against cost centers should be 100,يجب أن يكون إجمالي النسبة المئوية مقابل مراكز التكلفة 100,يجب أن يساوي إجمالي النسب المئوية الموزعة على مراكز التكلفة 100,Unify cross-app accounting wording
accounting-001,erpnext,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","رصيد الحساب بالفعل دائن ، لا يسمح لك لتعيين ' الرصيد يجب ان يكون ' ك ' مدين '\n<br>\nAccount balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","رصيد الحساب دائن بالفعل، لذلك لا يمكن ضبط «يجب أن يكون الرصيد» على «مدين».",Remove duplicated English and use the translated field label
accounting-001,erpnext,Account with child nodes cannot be converted to ledger,"لا يمكن تحويل الحساب إلى دفتر الأستاذ لأن لديه حسابات فرعية\n<br>\nAccount with child nodes cannot be converted to ledger",لا يمكن تحويل حساب يحتوي على حسابات فرعية إلى حساب أستاذ,Remove duplicated English and use an account-type term
accounting-001,erpnext,Account with child nodes cannot be set as ledger,"الحساب لديه حسابات فرعية لا يمكن إضافته لدفتر الأستاذ.\n<br>\nAccount with child nodes cannot be set as ledger",لا يمكن تعيين الحساب كحساب أستاذ لوجود حسابات فرعية تحته.,Remove duplicated English and clarify the hierarchy rule
accounting-001,erpnext,Account with existing transaction can not be deleted,"الحساب لديه معاملات موجودة لا يمكن حذفه\n<br>\nAccount with existing transaction can not be deleted",لا يمكن حذف الحساب لوجود معاملات مسجلة عليه.,Remove duplicated English and improve the accounting wording
accounting-001,erpnext,Account with existing transaction cannot be converted to ledger,"لا يمكن تحويل الحساب مع الحركة الموجودة إلى دفتر الأستاذ\n<br>\nAccount with existing transaction cannot be converted to ledger",لا يمكن تحويل الحساب إلى حساب أستاذ لوجود معاملات مسجلة عليه.,Remove duplicated English and clarify the transaction restriction
accounting-001,erpnext,Account {0} does not belong to company: {1},"الحساب {0} لا يتنمى للشركة {1}\n<br>\nAccount {0} does not belong to company: {1}",الحساب {0} لا ينتمي إلى الشركة: {1},Remove duplicated English and correct the Arabic typo
accounting-001,hrms,Account {0} does not belong to company: {1},"الحساب {0} لا يتنمى للشركة {1}\n<br>\nAccount {0} does not belong to company: {1}",الحساب {0} لا ينتمي إلى الشركة: {1},Apply the same safe cross-app correction
accounting-001,erpnext,Account {0} is frozen,"الحساب {0} مجمد\n<br>\nAccount {0} is frozen",الحساب {0} مجمّد,Remove duplicated English
accounting-001,erpnext,Accounting Entry for {0}: {1} can only be made in currency: {2},"المدخل المحاسبي ل {0}: {1} يمكن أن يكون فقط بالعملة {1}.\n<br>\nAccounting Entry for {0}: {1} can only be made in currency: {2}",لا يمكن إجراء القيد المحاسبي لـ {0}: {1} إلا بالعملة: {2},Fix the wrong {1} currency placeholder and remove duplicated English
accounting-001,erpnext,Against Journal Entry {0} does not have any unmatched {1} entry,"قيد اليومية المقابل {0} لا يحتوى مدخل {1} غير مطابق\n<br>\nAgainst Journal Entry {0} does not have any unmatched {1} entry",لا يحتوي قيد اليومية المقابل {0} على أي حركة {1} غير مُسوّاة.,The placeholder is debit or credit; describe an unmatched movement accurately
accounting-001,erpnext,Against Journal Entry {0} is already adjusted against some other voucher,"مدخل قيد اليومية {0} تم تعديله بالفعل لقسيمة أخرى\n<br>\nAgainst Journal Entry {0} is already adjusted \nagainst some other voucher",تمت تسوية قيد اليومية المقابل {0} بالفعل مقابل مستند آخر.,Use the accounting term تسوية and remove duplicated English
accounting-001,erpnext,Cash or Bank Account is mandatory for making payment entry,الحساب النقدي أو البنكي مطلوب لعمل مدخل بيع <br>Cash or Bank Account is mandatory for making payment entry,يجب تحديد حساب نقدي أو بنكي لإنشاء سند دفع.,Use the project Payment Entry term in Purchase Invoice context
