batch_id,app,msgid,current_arabic,proposed_arabic,section,classification,action,rationale
ui-001,erpnext,Invoicing,الفوترة,الفواتير,واجهة الحسابات,صياغة حرفية,تطبيق مقترح,اسم قسم الفواتير أوضح للمستخدم من المصدر الصناعي «الفوترة».
ui-001,erpnext,Share Management,إدارة المشاركة,إدارة المساهمين,واجهة الحسابات,خطأ معنى,تطبيق مقترح,المقصود إدارة مساهمي الشركة وأسهمهم وليس المشاركة العامة.
ui-001,erpnext,Budget,ميزانية,الميزانية,واجهة الحسابات,صياغة واجهة,مراجعة قبل التطبيق,إضافة أداة التعريف تجعل اسم القسم طبيعيًا مع بقاء المصطلح مفردًا.
ui-001,erpnext,Banking,الخدمات المصرفية,الخدمات المصرفية,واجهة الحسابات,سليم,لا تغيير,صياغة عربية صحيحة ومناسبة للسياق المالي.
ui-001,erpnext,Financial Reports,التقارير المالية,التقارير المالية,واجهة الحسابات,سليم,لا تغيير,صياغة محاسبية سليمة.
ui-001,erpnext,Payments,المدفوعات,المدفوعات,واجهة الحسابات,سليم,لا تغيير,صياغة محاسبية سليمة.
ui-001,erpnext,Taxes,الضرائب,الضرائب,واجهة الحسابات,سليم,لا تغيير,صياغة محاسبية سليمة.
ui-001,erpnext,Subscription,اشتراك,الاشتراك,واجهة الحسابات,سياق مشترك,مراجعة قبل التطبيق,المفتاح نفسه يُستخدم أيضًا اسمًا لنوع مستند؛ لذلك لا يُحوّل إلى جمع بلا اختبار شامل.
ui-001,frappe,User,المستعمل,المستخدم,المستخدمون والصلاحيات,اختيار مصطلح,تطبيق مقترح,«المستخدم» هو المصطلح القياسي الطبيعي في واجهات البرمجيات.
ui-001,frappe,User ,المستعمل,المستخدم,المستخدمون والصلاحيات,اختيار مصطلح,تطبيق مقترح,نسخة المفتاح ذات المسافة اللاحقة يجب توحيدها مع User.
ui-001,frappe,Users,المستخدمين,المستخدمون,المستخدمون والصلاحيات,خطأ نحوي,تطبيق مقترح,العنوان المستقل في حالة الرفع ويُعرض «المستخدمون».
ui-001,hrms,User,المستعمل,المستخدم,المستخدمون والصلاحيات,توحيد بين التطبيقات,تطبيق مقترح,توحيد المصطلح مع Frappe.
ui-001,hrms,Users,المستخدمين,المستخدمون,المستخدمون والصلاحيات,توحيد بين التطبيقات,تطبيق مقترح,توحيد الصياغة النحوية مع Frappe.
ui-001,frappe,List View,عرض القائمة,القائمة,طرق العرض,صياغة حرفية,مراجعة قبل التطبيق,القائمة المنسدلة تختار نوع العرض؛ الاسم المختصر أوضح.
ui-001,frappe,Report View,عرض التقرير,التقرير,طرق العرض,صياغة حرفية,مراجعة قبل التطبيق,القائمة المنسدلة تختار نوع العرض؛ الاسم المختصر أوضح.
ui-001,frappe,Dashboard View,عرض لوحة التحكم,لوحة المعلومات,طرق العرض,صياغة واجهة,مراجعة قبل التطبيق,صياغة اسمية طبيعية لنمط العرض مع تمييزها عن فعل «عرض».
ui-001,frappe,Kanban View,عرض كانبان,لوحة كانبان,طرق العرض,صياغة واجهة,مراجعة قبل التطبيق,يوضح أنها لوحة كانبان لا فعل عرض.
ui-001,frappe,Image View,عرض الصورة,الصور,طرق العرض,خطأ عدد/صياغة,مراجعة قبل التطبيق,النمط يعرض مجموعة سجلات كصور وليس صورة واحدة.
ui-001,frappe,Full Name,الاسم الكامل,الاسم الكامل,المستخدمون والصلاحيات,سليم,لا تغيير,النص الظاهر في الصورة مترجم بصورة صحيحة.
ui-001,system-data,Guest,Guest,Guest,قيم نظام,ليس مفتاح ترجمة,لا تغيير,اسم حساب نظام محفوظ في قاعدة البيانات؛ تغييره ترجمةً قد يكسر المراجع والصلاحيات.
ui-001,system-data,Administrator,Administrator,Administrator,قيم نظام,ليس مفتاح ترجمة,لا تغيير,اسم حساب المدير القياسي محفوظ كبيانات؛ كتالوج Frappe يترجم كلمة Administrator في مواضع الواجهة إلى «مدير» بالفعل.
