source,approved_arabic,alternative,rejected,domain,context,status,reviewer,notes
Journal Entry,قيد يومية,قيد اليومية,قيد دفتر,Accounting,Document title,accounting-review,,
General Ledger,دفتر الأستاذ العام,الأستاذ العام,,Accounting,Report title,accounting-review,,
Debit,مدين,,,Accounting,Ledger column,approved,,
Credit,دائن,,,Accounting,Ledger column,approved,,
Balance,الرصيد,,الموازنة,Accounting,Account and ledger balance,approved,,
Budget,الموازنة التقديرية,الميزانية,الرصيد,Accounting,Budget control,accounting-review,,
Cost Center,مركز تكلفة,مركز الكلفة,,Accounting,Accounting dimension,accounting-review,,
Accounts Receivable,حسابات العملاء,الذمم المدينة,,Accounting,Receivables domain,needs-context,,
Accounts Payable,حسابات الموردين,الذمم الدائنة,,Accounting,Payables domain,needs-context,,
Outstanding Amount,المبلغ المستحق,الرصيد المستحق,,Accounting,Invoice balance,accounting-review,,
Trial Balance,ميزان المراجعة,,,Accounting,Report title,approved,,
Profit and Loss Statement,قائمة الدخل,قائمة الأرباح والخسائر,,Accounting,Financial statement,accounting-review,,
Balance Sheet,قائمة المركز المالي,الميزانية العمومية,,Accounting,Financial statement,needs-context,,
Submit,ترحيل,اعتماد,إرسال,Workflow,DocStatus action,accounting-review,,
Cancel,إلغاء,,,Workflow,DocStatus action,approved,,
Sales Invoice,فاتورة مبيعات,,,Selling,Document title,approved,,
Purchase Invoice,فاتورة مشتريات,,,Buying,Document title,approved,,
Payment Entry,سند دفع أو قبض,قيد دفع,إدخال الدفع,Accounting,Depends on payment direction,needs-context,,
Stock Entry,حركة مخزون,قيد مخزون,,Stock,Document title,needs-context,,
Write Off,شطب,إعدام,,Accounting,Debt or amount adjustment,needs-context,,
Ledger Account,حساب أستاذ,حساب ترحيل,دفتر الأستاذ,Accounting,Posting account in Chart of Accounts,accounting-review,,ERPNext distinguishes posting ledgers from group accounts
Expense Account,حساب المصروفات,حساب النفقات,,Accounting,Expense account field,accounting-review,,
Closing Account,حساب الإقفال,الحساب الختامي,,Accounting,Period closing account,accounting-review,,
